0.4,12,100
0,20,200
0.02,32,300
0,40,400
8.51,52,500
0.51,60,600
0.23,72,700
0.02,80,800
0.06,92,900
7.01,100,1000
0.53,112,1100
0.07,120,1200
0.03,132,1300
1.68,140,1400
9.95,152,1500
0.77,160,1600
0.32,172,1700
0.07,180,1800
0.16,192,1900
7.12,200,2000
1.25,212,2100
0.08,220,2200
0.07,232,2300
0.04,240,2400
10.31,252,2500
1.06,260,2600
0.2,272,2700
0.18,280,2800
0.34,292,2900
7.68,300,3000
1.15,312,3100
0.19,320,3200
0.16,332,3300
0.14,340,3400
8.72,352,3500
1.42,360,3600
0.64,372,3700
0.28,380,3800
0.54,392,3900
7.83,400,4000
1.1,412,4100
0.29,420,4200
0.45,432,4300
0.42,440,4400
7.92,452,4500
1.63,460,4600
0.49,472,4700
0.37,480,4800
0.58,492,4900
8.07,500,5000
1.67,512,5100
1,520,5200
1.29,532,5300
1.24,540,5400
11.58,552,5500
1.9,560,5600
1.52,572,5700
1,580,5800
1.08,592,5900
11.8,600,6000
1.98,612,6100
0.91,620,6200
1.38,632,6300
2.34,640,6400
9.92,652,6500
2.91,660,6600
1.28,672,6700
1.14,680,6800
1.2,692,6900
10.36,700,7000
2.55,712,7100
1.42,720,7200
1.43,732,7300
1.48,740,7400
10.49,752,7500
3.77,760,7600
1.34,772,7700
1.64,780,7800
2.08,792,7900
10.09,800,8000
2.74,812,8100
1.56,820,8200
1.59,832,8300
1.49,840,8400
10.72,852,8500
3.55,860,8600
3.06,872,8700
2.03,880,8800
2.1,892,8900
10.87,900,9000
2.93,912,9100
1.77,920,9200
1.71,932,9300
1.73,940,9400
13.78,952,9500
4.06,960,9600
2.39,972,9700
4.58,980,9800
2.02,992,9900
13.75,1000,10000
3.01,1012,10100
1.85,1020,10200
2.11,1032,10300
2.05,1040,10400
12.07,1052,10500
3.71,1060,10600
2.38,1072,10700
2.06,1080,10800
2.52,1092,10900
11.19,1100,11000
3.77,1112,11100
2.97,1120,11200
2.42,1132,11300
2.35,1140,11400
11.13,1152,11500
3.84,1164,11600
3.04,1172,11700
2.69,1184,11800
2.62,1192,11900
11.48,1204,12000
5.02,1212,12100
2.88,1224,12200
2.93,1232,12300
2.97,1244,12400
12.1,1252,12500
4.98,1264,12600
2.89,1272,12700
2.9,1284,12800
2.84,1292,12900
12.07,1304,13000
9.07,1312,13100
11.76,1324,13200
28.12,1332,13300
9.36,1344,13400
18.92,1352,13500
38.17,1364,13600
32.63,1372,13700
42.58,1384,13800
156.79,1392,13900
117.69,1404,14000
84.96,1412,14100
49.14,1424,14200
57.87,1432,14300
71.13,1444,14400
67.2,1452,14500
71.76,1464,14600
